Position,Len,Field,Start,End,col_type
324,1,F_RF_PPB,324,324,l
325,1,RF_INFT,325,325,c
326,1,RF_DRG,326,326,c
327,1,RF_ART,327,327,c
329,1,F_RF_DRG,329,329,l
330,1,F_RF_ART,330,330,l
331,1,RF_CESAR,331,331,c
332-333,2,RF_CESARN,332,333,n
335,1,F_RF_CESAR,335,335,l
336,1,F_RF_NCESAR,336,336,l
337,1,NO_RISKS,337,337,n
343,1,IP_GON,343,343,c
344,1,IP_SYPH,344,344,c
345,1,IP_CHLAM,345,345,c
346,1,IP_HEPB,346,346,c
347,1,IP_HEPC,347,347,c
348,1,F_IP_GON,348,348,l
349,1,F_IP_SYPH,349,349,l
350,1,F_IP_CHLAM,350,350,l
351,1,F_IP_HEPB,351,351,l
352,1,F_IP_HEPC,352,352,l
353,1,NO_INFEC,353,353,n
360,1,OB_SUCC,360,360,c
361,1,OB_FAIL,361,361,c
363,1,F_OB_SUCC,363,363,l
364,1,F_OB_FAIL,364,364,l
365-371,7,CO_SEQNUM,365,371,n
372-375,4,CO_DODYY,372,375,n
383,1,LD_INDL,383,383,c
384,1,LD_AUGM,384,384,c
385,1,LD_STER,385,385,c
386,1,LD_ANTB,386,386,c
387,1,LD_CHOR,387,387,c
388,1,LD_ANES,388,388,c
389,1,F_LD_INDL,389,389,l
390,1,F_LD_AUGM,390,390,l
391,1,F_LD_STER,391,391,l
392,1,F_LD_ANTB,392,392,l
393,1,F_LD_CHOR,393,393,l
394,1,F_LD_ANES,394,394,l
395,1,NO_LBRDLV,395,395,n
401,1,ME_PRES,401,401,n
402,1,ME_ROUT,402,402,n
403,1,ME_TRIAL,403,403,c
404,1,F_ME_PRES,404,404,l
405,1,F_ME_ROUT,405,405,l
406,1,F_ME_TRIAL,406,406,l
407,1,RDMETH_REC,407,407,n
408,1,DMETH_REC,408,408,n
409,1,F_DMETH_REC,409,409,l
415,1,MM_MTR,415,415,c
416,1,MM_PLAC,416,416,c
417,1,MM_RUPT,417,417,c
418,1,MM_UHYST,418,418,c
419,1,MM_AICU,419,419,c
421,1,F_MM_MTR,421,421,l
422,1,F_MM_ PLAC,422,422,l
423,1,F_MM_RUPT,423,423,l
424,1,F_MM_UHYST,424,424,l
425,1,F_MM_AICU,425,425,l
427,1,NO_MMORB,427,427,n
433,1,ATTEND,433,433,n
434,1,MTRAN,434,434,c
435,1,PAY,435,435,n
436,1,PAY_REC,436,436,n
437,1,F_PAY,437,437,l
438,1,F_PAY_REC,438,438,l
444-445,2,APGAR5,444,445,n
446,1,APGAR5R,446,446,n
447,1,F_APGAR5,447,447,l
448-449,2,APGAR10,448,449,c
450,1,APGAR10R,450,450,n
454,1,DPLURAL,454,454,n
456,1,IMP_PLUR,456,456,n
459,1,SETORDER_R,459,459,n
475,1,SEX,475,475,f
476,1,IMP_SEX,476,476,n
477-478,2,DLMP_MM,477,478,c
481-484,4,DLMP_YY,481,484,n
487,1,COMPGST_IMP,487,487,n
488,1,COMBGST_IMP,488,488,n
489,1,OBGEST_FLG,489,489,n
490-491,2,COMBGEST,490,491,n
492-493,2,GESTREC10,492,493,c
494,1,GESTREC3,494,494,n
498,1,LMPUSED,498,498,n
499-500,2,OEGest_Comb,499,500,n
501-502,2,OEGest_R10,501,502,c
503,1,OEGest_R3,503,503,n
509-510,2,BWTR14,509,510,c
511,1,BWTR4,511,511,n
512-515,4,BRTHWGT,512,515,n
516,1,BWTIMP,516,516,n
517,1,AB_AVEN1,517,517,c
518,1,AB_AVEN6,518,518,c
519,1,AB_NICU,519,519,c
520,1,AB_SURF,520,520,c
521,1,AB_ANTI,521,521,c
522,1,AB_SEIZ,522,522,c
524,1,F_AB_AVEN1,524,524,l
525,1,F_AB_AVEN6,525,525,l
526,1,F_AB_NICU,526,526,l
527,1,F_AB_SURF,527,527,l
528,1,F_AB_ANTI,528,528,l
529,1,F_AB_SEIZ,529,529,l
531,1,NO_ABNORM,531,531,n
537,1,CA_ANEN,537,537,c
538,1,CA_MNSB,538,538,c
539,1,CA_CCHD,539,539,c
540,1,CA_CDH,540,540,c
541,1,CA_OMPH,541,541,c
542,1,CA_GAST,542,542,c
543,1,F_CA_ANEN,543,543,l
544,1,F_CA_MNSB,544,544,l
545,1,F_CA_CCHD,545,545,l
546,1,F_CA_CDH,546,546,l
547,1,F_CA_OMPH,547,547,l
548,1,F_CA_GAST,548,548,l
549,1,CA_LIMB,549,549,c
550,1,CA_CLEFT,550,550,c
551,1,CA_CLPAL,551,551,c
552,1,CA_DOWN,552,552,c
553,1,CA_DISOR,553,553,c
554,1,CA_HYPO,554,554,c
555,1,F_CA_LIMB,555,555,l
556,1,F_CA_CLEFT,556,556,l
557,1,F_CA_CLPAL,557,557,l
558,1,F_CA_DOWN,558,558,l
559,1,F_CA_DISOR,559,559,l
560,1,F_CA_HYPO,560,560,l
561,1,NO_CONGEN,561,561,n
567,1,ITRAN,567,567,c
568,1,ILIVE,568,568,c
569,1,BFED,569,569,c
570,1,F_BFED,570,570,l
1346,1,FLGND,1346,1346,n
